&a[0][0], 0x55d9abbfd330
&a[4][6], 0x55d9abbfd5a0
&b[6], 0x55d9abbfdc60
&a[4][7], 0x55d9abbfd5a8
&b[7], 0x55d9abbfdc68
&a[4][8], 0x55d9abbfd5b0
&b[8], 0x55d9abbfdc70
&a[4][9], 0x55d9abbfd5b8
&b[9], 0x55d9abbfdc78
&a[4][10], 0x55d9abbfd5c0
&b[10], 0x55d9abbfdc80
&a[4][11], 0x55d9abbfd5c8
&b[11], 0x55d9abbfdc88
&a[4][12], 0x55d9abbfd5d0
&b[12], 0x55d9abbfdc90
&a[4][13], 0x55d9abbfd5d8
&b[13], 0x55d9abbfdc98
&a[4][14], 0x55d9abbfd5e0
&b[14], 0x55d9abbfdca0
&a[4][15], 0x55d9abbfd5e8
&b[15], 0x55d9abbfdca8
&c[4], 0x55d9abbfdce0
&a[5][0], 0x55d9abbfd600
&b[0], 0x55d9abbfdc30
&a[5][1], 0x55d9abbfd608
&b[1], 0x55d9abbfdc38
&a[5][2], 0x55d9abbfd610
&b[2], 0x55d9abbfdc40
&a[5][3], 0x55d9abbfd618
&b[3], 0x55d9abbfdc48
&a[5][4], 0x55d9abbfd620
&b[4], 0x55d9abbfdc50
&a[5][5], 0x55d9abbfd628
&b[5], 0x55d9abbfdc58
&a[5][6], 0x55d9abbfd630
&b[6], 0x55d9abbfdc60
&a[5][7], 0x55d9abbfd638
&b[7], 0x55d9abbfdc68
&a[5][8], 0x55d9abbfd640
&b[8], 0x55d9abbfdc70
&a[5][9], 0x55d9abbfd648
&b[9], 0x55d9abbfdc78
&a[5][10], 0x55d9abbfd650
&b[10], 0x55d9abbfdc80
&a[5][11], 0x55d9abbfd658
&b[11], 0x55d9abbfdc88
&a[5][12], 0x55d9abbfd660
&b[12], 0x55d9abbfdc90
&a[5][13], 0x55d9abbfd668
&b[13], 0x55d9abbfdc98
&a[5][14], 0x55d9abbfd670
&b[14], 0x55d9abbfdca0
&a[5][15], 0x55d9abbfd678
&b[15], 0x55d9abbfdca8
&c[5], 0x55d9abbfdce8
&a[6][0], 0x55d9abbfd690
&b[0], 0x55d9abbfdc30
&a[6][1], 0x55d9abbfd698
&b[1], 0x55d9abbfdc38
&a[6][2], 0x55d9abbfd6a0
&b[2], 0x55d9abbfdc40
&a[6][3], 0x55d9abbfd6a8
&b[3], 0x55d9abbfdc48
&a[6][4], 0x55d9abbfd6b0
&b[4], 0x55d9abbfdc50
&a[6][5], 0x55d9abbfd6b8
&b[5], 0x55d9abbfdc58
&a[6][6], 0x55d9abbfd6c0
&b[6], 0x55d9abbfdc60
&a[6][7], 0x55d9abbfd6c8
&b[7], 0x55d9abbfdc68
&a[6][8], 0x55d9abbfd6d0
&b[8], 0x55d9abbfdc70
&a[6][9], 0x55d9abbfd6d8
&b[9], 0x55d9abbfdc78
&a[6][10], 0x55d9abbfd6e0
&b[10], 0x55d9abbfdc80
&a[6][11], 0x55d9abbfd6e8
&b[11], 0x55d9abbfdc88
&a[6][12], 0x55d9abbfd6f0
&b[12], 0x55d9abbfdc90
&a[6][13], 0x55d9abbfd6f8
&b[13], 0x55d9abbfdc98
&a[6][14], 0x55d9abbfd700
&b[14], 0x55d9abbfdca0
&a[6][15], 0x55d9abbfd708
&b[15], 0x55d9abbfdca8
&c[6], 0x55d9abbfdcf0
&a[7][0], 0x55d9abbfd720
&b[0], 0x55d9abbfdc30
&a[7][1], 0x55d9abbfd728
&b[1], 0x55d9abbfdc38
&a[7][2], 0x55d9abbfd730
&b[2], 0x55d9abbfdc40
&a[7][3], 0x55d9abbfd738
&b[3], 0x55d9abbfdc48
&a[7][4], 0x55d9abbfd740
&b[4], 0x55d9abbfdc50
&a[7][5], 0x55d9abbfd748
&b[5], 0x55d9abbfdc58
&a[7][6], 0x55d9abbfd750
&b[6], 0x55d9abbfdc60
&a[7][7], 0x55d9abbfd758
&b[7], 0x55d9abbfdc68
&a[7][8], 0x55d9abbfd760
&b[8], 0x55d9abbfdc70
&a[7][9], 0x55d9abbfd768
&b[9], 0x55d9abbfdc78
&a[7][10], 0x55d9abbfd770
&b[10], 0x55d9abbfdc80
&a[7][11], 0x55d9abbfd778
&b[11], 0x55d9abbfdc88
&a[7][12], 0x55d9abbfd780
&b[12], 0x55d9abbfdc90
&a[7][13], 0x55d9abbfd788
&b[13], 0x55d9abbfdc98
&a[7][14], 0x55d9abbfd790
&b[14], 0x55d9abbfdca0
&a[7][15], 0x55d9abbfd798
&b[15], 0x55d9abbfdca8
&c[7], 0x55d9abbfdcf8
&a[8][0], 0x55d9abbfd7b0
&b[0], 0x55d9abbfdc30
&a[8][1], 0x55d9abbfd7b8
&b[1], 0x55d9abbfdc38
&a[8][2], 0x55d9abbfd7c0
&b[2], 0x55d9abbfdc40
&a[8][3], 0x55d9abbfd7c8
&b[3], 0x55d9abbfdc48
&a[8][4], 0x55d9abbfd7d0
&b[4], 0x55d9abbfdc50
&a[8][5], 0x55d9abbfd7d8
&b[5], 0x55d9abbfdc58
&a[8][6], 0x55d9abbfd7e0
&b[6], 0x55d9abbfdc60
&a[8][7], 0x55d9abbfd7e8
&b[7], 0x55d9abbfdc68
&a[8][8], 0x55d9abbfd7f0
&b[8], 0x55d9abbfdc70
&a[8][9], 0x55d9abbfd7f8
&b[9], 0x55d9abbfdc78
&a[8][10], 0x55d9abbfd800
&b[10], 0x55d9abbfdc80
&a[8][11], 0x55d9abbfd808
&b[11], 0x55d9abbfdc88
&a[8][12], 0x55d9abbfd810
&b[12], 0x55d9abbfdc90
&a[8][13], 0x55d9abbfd818
&b[13], 0x55d9abbfdc98
&a[8][14], 0x55d9abbfd820
&b[14], 0x55d9abbfdca0
&a[8][15], 0x55d9abbfd828
&b[15], 0x55d9abbfdca8
&c[8], 0x55d9abbfdd00
&a[9][0], 0x55d9abbfd840
&b[0], 0x55d9abbfdc30
&a[9][1], 0x55d9abbfd848
&b[1], 0x55d9abbfdc38
&a[9][2], 0x55d9abbfd850
&b[2], 0x55d9abbfdc40
&a[9][3], 0x55d9abbfd858
&b[3], 0x55d9abbfdc48
&a[9][4], 0x55d9abbfd860
&b[4], 0x55d9abbfdc50
&a[9][5], 0x55d9abbfd868
&b[5], 0x55d9abbfdc58
&a[9][6], 0x55d9abbfd870
&b[6], 0x55d9abbfdc60
&a[9][7], 0x55d9abbfd878
&b[7], 0x55d9abbfdc68
&a[9][8], 0x55d9abbfd880
&b[8], 0x55d9abbfdc70
&a[9][9], 0x55d9abbfd888
&b[9], 0x55d9abbfdc78
&a[9][10], 0x55d9abbfd890
&b[10], 0x55d9abbfdc80
&a[9][11], 0x55d9abbfd898
&b[11], 0x55d9abbfdc88
&a[9][12], 0x55d9abbfd8a0
&b[12], 0x55d9abbfdc90
&a[9][13], 0x55d9abbfd8a8
&b[13], 0x55d9abbfdc98
&a[9][14], 0x55d9abbfd8b0
&b[14], 0x55d9abbfdca0
&a[9][15], 0x55d9abbfd8b8
&b[15], 0x55d9abbfdca8
&c[9], 0x55d9abbfdd08
&a[10][0], 0x55d9abbfd8d0
&b[0], 0x55d9abbfdc30
&a[10][1], 0x55d9abbfd8d8
&b[1], 0x55d9abbfdc38
&a[10][2], 0x55d9abbfd8e0
&b[2], 0x55d9abbfdc40
&a[10][3], 0x55d9abbfd8e8
&b[3], 0x55d9abbfdc48
&a[10][4], 0x55d9abbfd8f0
&b[4], 0x55d9abbfdc50
&a[10][5], 0x55d9abbfd8f8
&b[5], 0x55d9abbfdc58
&a[10][6], 0x55d9abbfd900
&b[6], 0x55d9abbfdc60
&a[10][7], 0x55d9abbfd908
&b[7], 0x55d9abbfdc68
&a[10][8], 0x55d9abbfd910
&b[8], 0x55d9abbfdc70
&a[10][9], 0x55d9abbfd918
&b[9], 0x55d9abbfdc78
&a[10][10], 0x55d9abbfd920
&b[10], 0x55d9abbfdc80
&a[10][11], 0x55d9abbfd928
&b[11], 0x55d9abbfdc88
&a[10][12], 0x55d9abbfd930
&b[12], 0x55d9abbfdc90
&a[10][13], 0x55d9abbfd938
&b[13], 0x55d9abbfdc98
&a[10][14], 0x55d9abbfd940
&b[14], 0x55d9abbfdca0
&a[10][15], 0x55d9abbfd948
&b[15], 0x55d9abbfdca8
&c[10], 0x55d9abbfdd10
&a[11][0], 0x55d9abbfd960
&b[0], 0x55d9abbfdc30
&a[11][1], 0x55d9abbfd968
&b[1], 0x55d9abbfdc38
&a[11][2], 0x55d9abbfd970
&b[2], 0x55d9abbfdc40
&a[11][3], 0x55d9abbfd978
&b[3], 0x55d9abbfdc48
&a[11][4], 0x55d9abbfd980
&b[4], 0x55d9abbfdc50
&a[11][5], 0x55d9abbfd988
&b[5], 0x55d9abbfdc58
&a[11][6], 0x55d9abbfd990
&b[6], 0x55d9abbfdc60
&a[11][7], 0x55d9abbfd998
&b[7], 0x55d9abbfdc68
&a[11][8], 0x55d9abbfd9a0
&b[8], 0x55d9abbfdc70
&a[11][9], 0x55d9abbfd9a8
&b[9], 0x55d9abbfdc78
&a[11][10], 0x55d9abbfd9b0
&b[10], 0x55d9abbfdc80
&a[11][11], 0x55d9abbfd9b8
&b[11], 0x55d9abbfdc88
&a[11][12], 0x55d9abbfd9c0
&b[12], 0x55d9abbfdc90
&a[11][13], 0x55d9abbfd9c8
&b[13], 0x55d9abbfdc98
&a[11][14], 0x55d9abbfd9d0
&b[14], 0x55d9abbfdca0
&a[11][15], 0x55d9abbfd9d8
&b[15], 0x55d9abbfdca8
&c[11], 0x55d9abbfdd18
&a[12][0], 0x55d9abbfd9f0
&b[0], 0x55d9abbfdc30
&a[12][1], 0x55d9abbfd9f8
&b[1], 0x55d9abbfdc38
&a[12][2], 0x55d9abbfda00
&b[2], 0x55d9abbfdc40
&a[12][3], 0x55d9abbfda08
&b[3], 0x55d9abbfdc48
&a[12][4], 0x55d9abbfda10
&b[4], 0x55d9abbfdc50
&a[12][5], 0x55d9abbfda18
&b[5], 0x55d9abbfdc58
&a[12][6], 0x55d9abbfda20
&b[6], 0x55d9abbfdc60
&a[12][7], 0x55d9abbfda28
&b[7], 0x55d9abbfdc68
&a[12][8], 0x55d9abbfda30
&b[8], 0x55d9abbfdc70
&a[12][9], 0x55d9abbfda38
&b[9], 0x55d9abbfdc78
&a[12][10], 0x55d9abbfda40
&b[10], 0x55d9abbfdc80
&a[12][11], 0x55d9abbfda48
&b[11], 0x55d9abbfdc88
&a[12][12], 0x55d9abbfda50
&b[12], 0x55d9abbfdc90
&a[12][13], 0x55d9abbfda58
&b[13], 0x55d9abbfdc98
&a[12][14], 0x55d9abbfda60
&b[14], 0x55d9abbfdca0
&a[12][15], 0x55d9abbfda68
&b[15], 0x55d9abbfdca8
&c[12], 0x55d9abbfdd20
&a[13][0], 0x55d9abbfda80
&b[0], 0x55d9abbfdc30
&a[13][1], 0x55d9abbfda88
&b[1], 0x55d9abbfdc38
&a[13][2], 0x55d9abbfda90
&b[2], 0x55d9abbfdc40
&a[13][3], 0x55d9abbfda98
&b[3], 0x55d9abbfdc48
&a[13][4], 0x55d9abbfdaa0
&b[4], 0x55d9abbfdc50
&a[13][5], 0x55d9abbfdaa8
&b[5], 0x55d9abbfdc58
&a[13][6], 0x55d9abbfdab0
&b[6], 0x55d9abbfdc60
&a[13][7], 0x55d9abbfdab8
&b[7], 0x55d9abbfdc68
&a[13][8], 0x55d9abbfdac0
&b[8], 0x55d9abbfdc70
&a[13][9], 0x55d9abbfdac8
&b[9], 0x55d9abbfdc78
&a[13][10], 0x55d9abbfdad0
&b[10], 0x55d9abbfdc80
&a[13][11], 0x55d9abbfdad8
&b[11], 0x55d9abbfdc88
&a[13][12], 0x55d9abbfdae0
&b[12], 0x55d9abbfdc90
&a[13][13], 0x55d9abbfdae8
&b[13], 0x55d9abbfdc98
&a[13][14], 0x55d9abbfdaf0
&b[14], 0x55d9abbfdca0
&a[13][15], 0x55d9abbfdaf8
&b[15], 0x55d9abbfdca8
&c[13], 0x55d9abbfdd28
&a[14][0], 0x55d9abbfdb10
&b[0], 0x55d9abbfdc30
&a[14][1], 0x55d9abbfdb18
&b[1], 0x55d9abbfdc38
&a[14][2], 0x55d9abbfdb20
&b[2], 0x55d9abbfdc40
&a[14][3], 0x55d9abbfdb28
&b[3], 0x55d9abbfdc48
&a[14][4], 0x55d9abbfdb30
&b[4], 0x55d9abbfdc50
&a[14][5], 0x55d9abbfdb38
&b[5], 0x55d9abbfdc58
&a[14][6], 0x55d9abbfdb40
&b[6], 0x55d9abbfdc60
&a[14][7], 0x55d9abbfdb48
&b[7], 0x55d9abbfdc68
&a[14][8], 0x55d9abbfdb50
&b[8], 0x55d9abbfdc70
&a[14][9], 0x55d9abbfdb58
&b[9], 0x55d9abbfdc78
&a[14][10], 0x55d9abbfdb60
&b[10], 0x55d9abbfdc80
&a[14][11], 0x55d9abbfdb68
&b[11], 0x55d9abbfdc88
&a[14][12], 0x55d9abbfdb70
&b[12], 0x55d9abbfdc90
&a[14][13], 0x55d9abbfdb78
&b[13], 0x55d9abbfdc98
&a[14][14], 0x55d9abbfdb80
&b[14], 0x55d9abbfdca0
&a[14][15], 0x55d9abbfdb88
&b[15], 0x55d9abbfdca8
&c[14], 0x55d9abbfdd30
&a[15][0], 0x55d9abbfdba0
&b[0], 0x55d9abbfdc30
&a[15][1], 0x55d9abbfdba8
&b[1], 0x55d9abbfdc38
&a[15][2], 0x55d9abbfdbb0
&b[2], 0x55d9abbfdc40
&a[15][3], 0x55d9abbfdbb8
&b[3], 0x55d9abbfdc48
&a[15][4], 0x55d9abbfdbc0
&b[4], 0x55d9abbfdc50
&a[15][5], 0x55d9abbfdbc8
&b[5], 0x55d9abbfdc58
&a[15][6], 0x55d9abbfdbd0
&b[6], 0x55d9abbfdc60
&a[15][7], 0x55d9abbfdbd8
&b[7], 0x55d9abbfdc68
&a[15][8], 0x55d9abbfdbe0
&b[8], 0x55d9abbfdc70
&a[15][9], 0x55d9abbfdbe8
&b[9], 0x55d9abbfdc78
&a[15][10], 0x55d9abbfdbf0
&b[10], 0x55d9abbfdc80
&a[15][11], 0x55d9abbfdbf8
&b[11], 0x55d9abbfdc88
&a[15][12], 0x55d9abbfdc00
&b[12], 0x55d9abbfdc90
&a[15][13], 0x55d9abbfdc08
&b[13], 0x55d9abbfdc98
&a[15][14], 0x55d9abbfdc10
&b[14], 0x55d9abbfdca0
&a[15][15], 0x55d9abbfdc18
&b[15], 0x55d9abbfdca8
&c[15], 0x55d9abbfdd38
22046.000000
